candidate_id,contrast,omitted_basin,omitted_field,estimate,warning_seed_count,fit_warning,self_comparison
MLP_64_32,c_vs_md_only,Otway Basin,Geographe,-4.028750699804708,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Otway Basin,Thylacine,-3.9485703534602252,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Bonaparte Basin,Montara,-1.2944462624979,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Browse Basin,Ichthys,-0.4913630190459604,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Browse Basin,Prelude,-1.6478886050031412,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Gippsland Basin,Cobia,-1.7616364022328932,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Gippsland Basin,Fortescue,-1.6321041588654255,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Northern Carnarvon Basin,Gorgon,-1.4927818012949692,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Otway Basin,Geographe,-1.547133987387134,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Otway Basin,Thylacine,-1.658151066883526,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Bonaparte Basin,Montara,-3.629589132903562,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Browse Basin,Ichthys,-2.7435878298507776,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Browse Basin,Prelude,-3.7132798127511157,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Gippsland Basin,Cobia,-3.6766219834221903,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Gippsland Basin,Fortescue,-3.7890891578232475,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,-3.327332179513524,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Otway Basin,Geographe,-3.668546788867514,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Otway Basin,Thylacine,-3.552406673295657,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_md_only,Bonaparte Basin,Montara,-3.6247303328808598,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_md_only,Browse Basin,Ichthys,-3.3940007372292382,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_md_only,Browse Basin,Prelude,-3.24341204426048,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_md_only,Gippsland Basin,Cobia,-3.0155486895585204,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_md_only,Gippsland Basin,Fortescue,-3.476054201576951,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_md_only,Northern Carnarvon Basin,Gorgon,-2.950673009061933,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_md_only,Otway Basin,Geographe,-3.7243511855111744,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_md_only,Otway Basin,Thylacine,-3.4905593111916597,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_source_median,Bonaparte Basin,Montara,-0.7547002662431669,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_source_median,Browse Basin,Ichthys,-0.8448412827248617,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_source_median,Browse Basin,Prelude,-1.2809178238189582,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_source_median,Gippsland Basin,Cobia,-1.33634814200695,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_source_median,Gippsland Basin,Fortescue,-1.1326185555411723,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_source_median,Northern Carnarvon Basin,Gorgon,-1.2089663351480435,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_source_median,Otway Basin,Geographe,-1.2427344730935996,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_source_median,Otway Basin,Thylacine,-1.20014002461496,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_frozen_et,Bonaparte Basin,Montara,-3.08984313664883,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_frozen_et,Browse Basin,Ichthys,-3.0970660935296785,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_frozen_et,Browse Basin,Prelude,-3.346309031566934,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_frozen_et,Gippsland Basin,Cobia,-3.2513337231962476,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_frozen_et,Gippsland Basin,Fortescue,-3.2896035544989957,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,-3.043516713366601,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_frozen_et,Otway Basin,Geographe,-3.3641472745739813,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_96_48,c_vs_frozen_et,Otway Basin,Thylacine,-3.094395631027092,5,ConvergenceWarning: frozen max_iter=80 retained,False
