candidate_id,mean_unit_mae,worst2_unit_mae,worst_unit_mae,complexity_rank,fixed_order,outer_held,rank_worst2,rank_mean
MLP_96_48,14.550260734221675,21.36339378560342,22.19085461656301,3,7,F-14,8.0,8.0
Ridge_alpha_1,12.740290055510858,18.17976254040289,18.579782047248788,0,0,F-14,3.0,5.0
Ridge_alpha_100,12.725024696459535,18.212478606619186,18.60994573891864,0,1,F-14,4.0,4.0
ExtraTrees_depth12_leaf30,11.981989900088788,16.99567910667644,17.71905328802635,2,4,F-15 family,2.0,2.0
ExtraTrees_depth18_leaf100,11.931077702520229,16.85820723634847,17.58838013125692,2,5,F-15 family,1.0,1.0
HistGB_lr005_leaf15,12.570565512321686,18.345951329156968,19.162848610204026,1,2,F-15 family,6.0,3.0
HistGB_lr008_leaf31,12.943868685249372,17.885479673749415,18.45104563172241,1,3,F-15 family,3.0,6.0
MLP_64_32,15.486665627564662,22.470848911956175,26.013240015378123,3,6,F-15 family,7.0,7.0
MLP_96_48,16.557304508305435,26.238503578387544,29.88467441492987,3,7,F-15 family,8.0,8.0
Ridge_alpha_1,12.803963586937861,17.958532189633,18.312588627935902,0,0,F-15 family,5.0,5.0
Ridge_alpha_100,12.786642614568002,17.9518603054628,18.345291952762512,0,1,F-15 family,4.0,4.0
ExtraTrees_depth12_leaf30,11.503065292286632,18.750720260104544,20.192691262366623,2,4,F-4,4.0,2.0
ExtraTrees_depth18_leaf100,11.414816946618295,18.308461919823696,20.288976706097557,2,5,F-4,1.0,1.0
HistGB_lr005_leaf15,12.402345679742131,20.66999318244401,20.774303612427538,1,2,F-4,6.0,5.0
HistGB_lr008_leaf31,12.92448918985297,20.723925010703354,21.291762459838264,1,3,F-4,7.0,6.0
MLP_64_32,13.473346740621242,20.397928540571492,20.574419805881917,3,6,F-4,5.0,7.0
MLP_96_48,13.822616948448754,20.94526027487955,21.946774232957857,3,7,F-4,8.0,8.0
Ridge_alpha_1,12.151696950397715,18.420327357435767,20.22243236578622,0,0,F-4,2.0,4.0
Ridge_alpha_100,12.140154452544401,18.421238442280988,20.251133258248323,0,1,F-4,3.0,3.0
ExtraTrees_depth12_leaf30,11.38536640689068,16.94254973844065,17.8019017052618,2,4,F-5,2.0,2.0
ExtraTrees_depth18_leaf100,11.288579668060597,16.80603264642355,17.646781037402747,2,5,F-5,1.0,1.0
HistGB_lr005_leaf15,12.204984897464584,18.030566952387403,19.043579593675666,1,2,F-5,5.0,5.0
HistGB_lr008_leaf31,12.736134313941099,18.682951192904298,19.61056423967667,1,3,F-5,6.0,6.0
MLP_64_32,14.270965215239992,22.87178084169777,26.775726408123006,3,6,F-5,8.0,7.0
MLP_96_48,14.36061503908352,20.653675443607884,21.520271847219874,3,7,F-5,7.0,8.0
Ridge_alpha_1,12.089056405228096,17.538646094304788,18.28185817080924,0,0,F-5,3.0,4.0
Ridge_alpha_100,12.076022913313325,17.577590905596463,18.31545177272268,0,1,F-5,4.0,3.0
ExtraTrees_depth12_leaf30,11.317139045118246,18.21384374107886,20.432489418296278,2,4,F-7/F-9,2.0,2.0
ExtraTrees_depth18_leaf100,11.272106139854133,17.743950385835,20.29093295127226,2,5,F-7/F-9,1.0,1.0
HistGB_lr005_leaf15,12.188042843145482,18.864561247613622,19.064775647770237,1,2,F-7/F-9,5.0,4.0
HistGB_lr008_leaf31,12.652246329610394,19.737515659891436,20.093086389571585,1,3,F-7/F-9,6.0,6.0
MLP_64_32,14.797437025427715,26.050933326793185,28.172973899686337,3,6,F-7/F-9,7.0,7.0
MLP_96_48,14.905086608273242,26.516561519460048,27.373180143586914,3,7,F-7/F-9,8.0,8.0
Ridge_alpha_1,12.188985801218637,18.484085994048314,20.462375806801106,0,0,F-7/F-9,4.0,5.0
Ridge_alpha_100,12.177000071897371,18.47583285641918,20.486016709794715,0,1,F-7/F-9,3.0,3.0
ExtraTrees_depth12_leaf30,11.609518197791054,17.474080390683703,18.43415002224167,2,4,F-9A,4.0,2.0
ExtraTrees_depth18_leaf100,11.538882161559874,17.096960899104737,18.075619948647578,2,5,F-9A,1.0,1.0
HistGB_lr005_leaf15,12.229374826454501,17.430195607091278,17.64495132461264,1,2,F-9A,3.0,4.0
HistGB_lr008_leaf31,12.221305079145878,17.35365956636618,18.992332174239245,1,3,F-9A,2.0,3.0
MLP_64_32,12.846341987310645,17.74166371097858,19.262492061285712,3,6,F-9A,5.0,5.0
MLP_96_48,12.952062562602878,18.217971733244582,18.74363510176166,3,7,F-9A,6.0,6.0
