candidate_id,contrast,basin_id,field_id,n_families,gain,warning_seed_count,fit_warning,self_comparison
ExtraTrees_depth18_leaf100,c_vs_source_median,Browse Basin,Prelude,3,2.117209800980816,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Gippsland Basin,Cobia,2,3.170049186891557,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Gippsland Basin,Fortescue,2,1.4760532625118827,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Northern Carnarvon Basin,Gorgon,3,3.733095607686749,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Otway Basin,Geographe,2,1.7250586448539762,0,none,False
ExtraTrees_depth18_leaf100,c_vs_source_median,Otway Basin,Thylacine,2,3.3151590103317234,0,none,False
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Bonaparte Basin,Montara,3,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Browse Basin,Ichthys,2,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Browse Basin,Prelude,3,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Gippsland Basin,Cobia,2,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Gippsland Basin,Fortescue,2,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Northern Carnarvon Basin,Gorgon,3,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Otway Basin,Geographe,2,0.0,0,none,True
ExtraTrees_depth18_leaf100,c_vs_frozen_et,Otway Basin,Thylacine,2,0.0,0,none,True
MLP_64_32,c_vs_md_only,Bonaparte Basin,Montara,3,-0.2922336073408977,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Browse Basin,Ichthys,2,-8.159910596437694,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Browse Basin,Prelude,3,-4.170888133177411,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Gippsland Basin,Cobia,2,-5.35770926279881,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Gippsland Basin,Fortescue,2,-1.6147892769816234,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Northern Carnarvon Basin,Gorgon,3,-6.802148584828046,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Otway Basin,Geographe,2,-1.2423130126570945,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_md_only,Otway Basin,Thylacine,2,-1.8035754370684751,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Bonaparte Basin,Montara,3,-2.4643814657256478,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Browse Basin,Ichthys,2,-8.085964169889227,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Browse Basin,Prelude,3,0.0097149318110402,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Gippsland Basin,Cobia,2,0.8059495124193035,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Gippsland Basin,Fortescue,2,-0.1007761911529723,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Northern Carnarvon Basin,Gorgon,3,-1.0760326941461666,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Otway Basin,Geographe,2,-0.6955673915010125,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_source_median,Otway Basin,Thylacine,2,0.0815521649737327,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Bonaparte Basin,Montara,3,-2.693329628102653,5,ConvergenceWarning: frozen max_iter=80 retained,False
MLP_64_32,c_vs_frozen_et,Browse Basin,Ichthys,2,-8.895338749472145,5,ConvergenceWarning: frozen max_iter=80 retained,False
